[19:52:58] [INFO] received Windows console close event; shutting log-core down
[19:55:15] [INFO] received Windows console close event; shutting log-core down
[22:56:42] [INFO] received Windows console close event; shutting log-core down
[14:00:14] [INFO] received Windows console close event; shutting log-core down
[14:42:06] [INFO] received Windows console close event; shutting log-core down
[14:56:19] [INFO] received Windows console close event; shutting log-core down
[21:52:22] [INFO] received Windows console close event; shutting log-core down
[22:09:48] [INFO] received Windows console close event; shutting log-core down
[01:34:44] [INFO] received Windows console close event; shutting log-core down
[01:36:08] [INFO] received Windows console close event; shutting log-core down
[01:39:46] [INFO] received Windows console close event; shutting log-core down
[01:40:49] [INFO] received Windows console close event; shutting log-core down
[01:42:03] [INFO] received Windows console close event; shutting log-core down
[01:59:43] [INFO] received Windows console close event; shutting log-core down
[02:04:06] [INFO] received Windows console close event; shutting log-core down
[02:04:41] [INFO] received Windows console close event; shutting log-core down
[02:12:15] [INFO] received Windows console close event; shutting log-core down
[02:12:51] [INFO] received Windows console close event; shutting log-core down
[02:13:38] [INFO] received Windows console close event; shutting log-core down
[02:28:16] [INFO] received Windows console close event; shutting log-core down
[02:30:45] [INFO] received Windows console close event; shutting log-core down
[02:35:22] [INFO] received Windows console close event; shutting log-core down
[10:43:01] [INFO] received Windows console close event; shutting log-core down
[10:55:48] [INFO] received Windows console close event; shutting log-core down
[10:58:25] [INFO] received Windows console close event; shutting log-core down
[10:59:46] [INFO] received Windows console close event; shutting log-core down
[11:10:09] [INFO] received Windows console close event; shutting log-core down
[12:51:17] [INFO] received Windows console close event; shutting log-core down
[12:53:34] [INFO] received Windows console close event; shutting log-core down
[12:55:45] [INFO] received Windows console close event; shutting log-core down
[16:21:19] [INFO] received Windows console close event; shutting log-core down
[16:32:26] [INFO] received Windows console close event; shutting log-core down
[16:37:07] [INFO] received Windows console close event; shutting log-core down
[16:37:17] [INFO] received Windows console close event; shutting log-core down
[16:37:18] [INFO] received Windows console close event; shutting log-core down
[16:43:01] [INFO] received Windows console close event; shutting log-core down
[16:44:14] [INFO] received Windows console close event; shutting log-core down
[16:54:30] [INFO] received Windows console close event; shutting log-core down
[17:08:45] [INFO] received Windows console close event; shutting log-core down
